Title,Description,FileName
UnempDur,Unemployment Duration,UnempDur.csv
Unemployment,Unemployment Duration,Unemployment.csv
University,Provision of University Teaching and Research,University.csv
VietNamH,Medical Expenses in Viet-nam (household Level),VietNamH.csv
VietNamI,Medical Expenses in Viet-nam (individual Level),VietNamI.csv
Wages,Panel Datas of Individual Wages,Wages.csv
Wages1,"Wages, Experience and Schooling",Wages1.csv
Workinghours,Wife Working Hours,Workinghours.csv
Yen,Yen-dollar Exchange Rate,Yen.csv
Yogurt,Choice of Brand for Yogurts,Yogurt.csv
bankingCrises,Countries in Banking Crises,bankingCrises.csv
incomeInequality,Income Inequality in the US,incomeInequality.csv
nonEnglishNames,Names with Character Set Problems,nonEnglishNames.csv
politicalKnowledge,Political knowledge in the US and Europe,politicalKnowledge.csv
PD,"A study of Parkinson's disease and APOE, LRRK2, SNCA makers",PD.csv
aldh2,ALDH2 markers and Alcoholism,aldh2.csv
apoeapoc,APOE/APOC1 markers and Alzheimer's,apoeapoc.csv
cf,Cystic fibrosis data,cf.csv
crohn,Crohn's disease data,crohn.csv
fa,Friedreich Ataxia data,fa.csv
fsnps,A case-control data involving four SNPs with missing genotype,fsnps.csv
hla,The HLA data,hla.csv
hr1420,An example data for Manhattan plot with annotation,hr1420.csv
l51,An example pedigree data,l51.csv
lukas,An example pedigree,lukas.csv
mao,A study of Parkinson's disease and MAO gene,mao.csv
mfblong,Example data for ACEnucfam,mfblong.csv
mhtdata,An example data for Manhattan plot,mhtdata.csv
nep499,A study of Alzheimer's disease with eight SNPs and APOE,nep499.csv
diamonds,"Prices of 50,000 round cut diamonds",diamonds.csv
economics,US economic time series.,economics.csv
midwest,Midwest demographics.,midwest.csv
movies,Movie information and user ratings from IMDB.com.,movies.csv
mpg,Fuel economy data from 1999 and 2008 for 38 popular models of car,mpg.csv
msleep,An updated and expanded version of the mammals sleep dataset.,msleep.csv
presidential,Terms of 10 presidents from Eisenhower to Bush W.,presidential.csv
seals,Vector field of seal movements.,seals.csv
Arbuthnot,Arbuthnot's data on male and female birth ratios in London from 1629-1710.,Arbuthnot.csv
Bowley,"Bowley's data on values of British and Irish trade, 1855-1899",Bowley.csv
Cavendish,Cavendish's Determinations of the Density of the Earth,Cavendish.csv
ChestSizes,Chest measurements of 5738 Scottish Militiamen,ChestSizes.csv
CushnyPeebles,Cushny-Peebles Data: Soporific Effects of Scopolamine Derivatives,CushnyPeebles.csv
CushnyPeeblesN,Cushny-Peebles Data: Soporific Effects of Scopolamine Derivatives,CushnyPeeblesN.csv
Dactyl,Edgeworth's counts of dactyls in Virgil's Aeneid,Dactyl.csv
DrinksWages,Elderton and Pearson's (1910) data on drinking and wages,DrinksWages.csv
Fingerprints,Waite's data on Patterns in Fingerprints,Fingerprints.csv
Galton,Galton's data on the heights of parents and their children,Galton.csv
GaltonFamilies,"Galton's data on the heights of parents and their children, by child",GaltonFamilies.csv
Guerry,"Data from A.-M. Guerry, ""Essay on the Moral Statistics of France""",Guerry.csv
Jevons,W. Stanley Jevons' data on numerical discrimination,Jevons.csv
Langren.all,van Langren's Data on Longitude Distance between Toledo and Rome,Langren.all.csv
Langren1644,van Langren's Data on Longitude Distance between Toledo and Rome,Langren1644.csv
Macdonell,"Macdonell's Data on Height and Finger Length of Criminals, used by Gosset (1908)",Macdonell.csv
MacdonellDF,"Macdonell's Data on Height and Finger Length of Criminals, used by Gosset (1908)",MacdonellDF.csv
Michelson,Michelson's Determinations of the Velocity of Light,Michelson.csv
MichelsonSets,Michelson's Determinations of the Velocity of Light,MichelsonSets.csv
Minard.cities,Data from Minard's famous graphic map of Napoleon's march on Moscow,Minard.cities.csv
Minard.temp,Data from Minard's famous graphic map of Napoleon's march on Moscow,Minard.temp.csv
Minard.troops,Data from Minard's famous graphic map of Napoleon's march on Moscow,Minard.troops.csv
Nightingale,Florence Nightingale's data on deaths from various causes in the Crimean War,Nightingale.csv
OldMaps,Latitudes and Longitudes of 39 Points in 11 Old Maps,OldMaps.csv
PearsonLee,Pearson and Lee's data on the heights of parents and children classified by gender,PearsonLee.csv
PolioTrials,Polio Field Trials Data,PolioTrials.csv
Prostitutes,Parent-Duchatelet's time-series data on the number of prostitutes in Paris,Prostitutes.csv
Pyx,Trial of the Pyx,Pyx.csv
Quarrels,Statistics of Deadly Quarrels,Quarrels.csv
Snow.deaths,John Snow's map and data on the 1854 London Cholera outbreak,Snow.deaths.csv
Snow.polygons,John Snow's map and data on the 1854 London Cholera outbreak,Snow.polygons.csv
Snow.pumps,John Snow's map and data on the 1854 London Cholera outbreak,Snow.pumps.csv
Snow.streets,John Snow's map and data on the 1854 London Cholera outbreak,Snow.streets.csv
Wheat,Playfair's Data on Wages and the Price of Wheat,Wheat.csv
Wheat.monarchs,Playfair's Data on Wages and the Price of Wheat,Wheat.monarchs.csv
Yeast,Student's (1906) Yeast Cell Counts,Yeast.csv
YeastD.mat,Student's (1906) Yeast Cell Counts,YeastD.mat.csv
ZeaMays,Darwin's Heights of Cross- and Self-fertilized Zea May Pairs,ZeaMays.csv
barley,Yield data from a Minnesota barley trial,barley.csv
environmental,Atmospheric environmental conditions in New York City,environmental.csv
ethanol,Engine exhaust fumes from burning ethanol,ethanol.csv
melanoma,Melanoma skin cancer incidence,melanoma.csv
singer,Heights of New York Choral Society singers,singer.csv
Aids2,Australian AIDS Survival Data,Aids2.csv
Animals,Brain and Body Weights for 28 Species,Animals.csv
Boston,Housing Values in Suburbs of Boston,Boston.csv
Cars93,Data from 93 Cars on Sale in the USA in 1993,Cars93.csv
Cushings,Diagnostic Tests on Patients with Cushing's Syndrome,Cushings.csv
DDT,DDT in Kale,DDT.csv
GAGurine,Level of GAG in Urine of Children,GAGurine.csv
Insurance,Numbers of Car Insurance claims,Insurance.csv
Melanoma,Survival from Malignant Melanoma,Melanoma.csv
OME,Tests of Auditory Perception in Children with OME,OME.csv
Pima.te,Diabetes in Pima Indian Women,Pima.te.csv
Pima.tr,Diabetes in Pima Indian Women,Pima.tr.csv
Pima.tr2,Diabetes in Pima Indian Women,Pima.tr2.csv
Rabbit,Blood Pressure in Rabbits,Rabbit.csv
Rubber,Accelerated Testing of Tyre Rubber,Rubber.csv
SP500,Returns of the Standard and Poors 500,SP500.csv
Sitka,Growth Curves for Sitka Spruce Trees in 1988,Sitka.csv
Sitka89,Growth Curves for Sitka Spruce Trees in 1989,Sitka89.csv
Skye,AFM Compositions of Aphyric Skye Lavas,Skye.csv
Traffic,Effect of Swedish Speed Limits on Accidents,Traffic.csv
UScereal,Nutritional and Marketing Information on US Cereals,UScereal.csv
UScrime,The Effect of Punishment Regimes on Crime Rates,UScrime.csv
VA,Veteran's Administration Lung Cancer Trial,VA.csv
abbey,Determinations of Nickel Content,abbey.csv
accdeaths,Accidental Deaths in the US 1973-1978,accdeaths.csv
anorexia,Anorexia Data on Weight Change,anorexia.csv
